item_id,trait,facet,pole,item_text
ipip242,E,Friend,rev,I am not really interested in others
ipip272,E,Friend,rev,I keep others at a distance
ipip7,E,Gregar,fwd,I love large parties
ipip37,E,Gregar,fwd,I talk to a lot of different people at parties
ipip67,E,Gregar,fwd,I enjoy being part of a group
ipip97,E,Gregar,fwd,I involve others in what I am doing
ipip127,E,Gregar,fwd,I love surprise parties
ipip157,E,Gregar,rev,I prefer to be alone
ipip187,E,Gregar,rev,I want to be left alone
ipip217,E,Gregar,rev,I don't like crowded events
ipip247,E,Gregar,rev,I avoid crowds
ipip277,E,Gregar,rev,I seek quiet
ipip12,E,Assert,fwd,I take charge
ipip42,E,Assert,fwd,I try to lead others
ipip72,E,Assert,fwd,I can talk others into doing things
ipip102,E,Assert,fwd,I seek to influence others
ipip132,E,Assert,fwd,I take control of things
ipip162,E,Assert,rev,I wait for others to lead the way
ipip192,E,Assert,rev,I keep in the background
ipip222,E,Assert,rev,I have little to say
ipip252,E,Assert,rev,I don't like to draw attention to myself
ipip282,E,Assert,rev,I hold back my opinions
ipip17,E,Activity,fwd,I am always busy
ipip47,E,Activity,fwd,I am always on the go
ipip77,E,Activity,fwd,I do a lot in my spare time
ipip107,E,Activity,fwd,I can manage many things at the same time
ipip137,E,Activity,fwd,I react quickly
ipip167,E,Activity,rev,I like to take it easy
ipip197,E,Activity,rev,I like to take my time
ipip227,E,Activity,rev,I like a leisurely lifestyle
ipip257,E,Activity,rev,I let things proceed at their own pace
ipip287,E,Activity,rev,I react slowly
ipip112,E,Excite,fwd,I enjoy being part of a loud crowd
ipip142,E,Excite,fwd,I enjoy being reckless
ipip172,E,Excite,fwd,I act wild and crazy
ipip202,E,Excite,fwd,I'm willing to try anything once
ipip232,E,Excite,fwd,I seek danger
ipip262,E,Excite,rev,I would never go hang gliding or bungee jumping
ipip292,E,Excite,rev,I dislike loud music
ipip57,E,Cheerf,fwd,I have a lot of fun
ipip87,E,Cheerf,fwd,I express childlike joy
ipip117,E,Cheerf,fwd,I laugh my way through life
ipip147,E,Cheerf,fwd,I love life
ipip177,E,Cheerf,fwd,I look at the bright side of life
ipip207,E,Cheerf,fwd,I laugh aloud
ipip237,E,Cheerf,fwd,I amuse my friends
ipip267,E,Cheerf,rev,I am not easily amused
ipip297,E,Cheerf,rev,I seldom joke around
ipip1,N,Anxiety,fwd,I worry about things
ipip31,N,Anxiety,fwd,I fear for the worst
ipip61,N,Anxiety,fwd,I am afraid of many things
ipip91,N,Anxiety,fwd,I get stressed out easily
ipip121,N,Anxiety,fwd,I get caught up in my problems
ipip151,N,Anxiety,rev,I am not easily bothered by things
ipip181,N,Anxiety,rev,I am relaxed most of the time
ipip211,N,Anxiety,rev,I am not easily disturbed by events
ipip241,N,Anxiety,rev,I don't worry about things that have already happened
ipip271,N,Anxiety,rev,I adapt easily to new situations
ipip6,N,Anger,fwd,I get angry easily
ipip36,N,Anger,fwd,I get irritated easily
ipip66,N,Anger,fwd,I get upset easily
ipip96,N,Anger,fwd,I am often in a bad mood
ipip126,N,Anger,fwd,I lose my temper
ipip156,N,Anger,rev,I rarely get irritated
ipip186,N,Anger,rev,I seldom get mad
ipip216,N,Anger,rev,I am not easily annoyed
ipip246,N,Anger,rev,I keep my cool
ipip276,N,Anger,rev,I rarely complain
ipip11,N,Depression,fwd,I often feel blue
ipip41,N,Depression,fwd,I dislike myself
ipip71,N,Depression,fwd,I am often down in the dumps
ipip101,N,Depression,fwd,I have a low opinion of myself
ipip131,N,Depression,fwd,I have frequent mood swings
ipip161,N,Depression,fwd,I feel desperate
ipip191,N,Depression,fwd,I feel that my life lacks direction
ipip221,N,Depression,rev,I seldom feel blue
ipip251,N,Depression,rev,I feel comfortable with myself
ipip281,N,Depression,rev,I am very pleased with myself
ipip16,N,Self-Cons,fwd,I am easily intimidated
ipip46,N,Self-Cons,fwd,I am afraid that I will do the wrong thing
ipip76,N,Self-Cons,fwd,I find it difficult to approach others
ipip106,N,Self-Cons,fwd,I am afraid to draw attention to myself
ipip136,N,Self-Cons,fwd,I only feel comfortable with friends
ipip166,N,Self-Cons,fwd,I stumble over my words
ipip196,N,Self-Cons,rev,I am not embarrassed easily
ipip226,N,Self-Cons,rev,I am comfortable in unfamiliar situations
ipip256,N,Self-Cons,rev,I am not bothered by difficult social situations
ipip286,N,Self-Cons,rev,I am able to stand up for myself
ipip21,N,Immoder,fwd,I often eat too much
ipip51,N,Immoder,fwd,I don't know why I do some of the things I do
ipip81,N,Immoder,fwd,I do things I later regret
ipip111,N,Immoder,fwd,I go on binges
ipip141,N,Immoder,fwd,I love to eat
ipip171,N,Immoder,rev,I rarely overindulge
ipip201,N,Immoder,rev,I easily resist temptations
ipip231,N,Immoder,rev,I am able to control my cravings
ipip261,N,Immoder,rev,I never spend more than I can afford
ipip291,N,Immoder,rev,I never splurge
ipip26,N,Vulner,fwd,I panic easily
ipip56,N,Vulner,fwd,I become overwhelmed by events
ipip86,N,Vulner,fwd,I feel that I'm unable to deal with things
ipip116,N,Vulner,fwd,I can't make up my mind
ipip146,N,Vulner,fwd,I get overwhelmed by emotions
ipip176,N,Vulner,rev,I remain calm under pressure
ipip206,N,Vulner,rev,I can handle complex problems
ipip236,N,Vulner,rev,I know how to cope
ipip266,N,Vulner,rev,I readily overcome setbacks
ipip296,N,Vulner,rev,I am calm even in tense situations
ipip3,O,Imagin,fwd,I have a vivid imagination
ipip33,O,Imagin,fwd,I enjoy wild flights of fantasy
ipip63,O,Imagin,fwd,I love to daydream
ipip93,O,Imagin,fwd,I like to get lost in thought
ipip123,O,Imagin,fwd,I indulge in my fantasies
ipip153,O,Imagin,fwd,I spend time reflecting on things
ipip183,O,Imagin,rev,I seldom daydream
ipip213,O,Imagin,rev,I do not have a good imagination
ipip243,O,Imagin,rev,I seldom get lost in thought
ipip273,O,Imagin,rev,I have difficulty imagining things
ipip8,O,Artist,fwd,I believe in the importance of art
ipip38,O,Artist,fwd,I like music
ipip68,O,Artist,fwd,I see beauty in things that others might not notice
ipip128,O,Artist,fwd,I enjoy the beauty of nature
ipip158,O,Artist,rev,I do not like art
ipip188,O,Artist,rev,I do not like poetry
ipip218,O,Artist,rev,I do not enjoy going to art museums
ipip248,O,Artist,rev,I do not like concerts
ipip278,O,Artist,rev,I do not enjoy watching dance performances
ipip13,O,Emotion,fwd,I experience my emotions intensely
ipip43,O,Emotion,fwd,I feel others' emotions
ipip73,O,Emotion,fwd,I am passionate about causes
ipip103,O,Emotion,fwd,I enjoy examining myself and my life
ipip133,O,Emotion,fwd,I try to understand myself
ipip163,O,Emotion,rev,I seldom get emotional
ipip193,O,Emotion,rev,I am not easily affected by my emotions
ipip223,O,Emotion,rev,I rarely notice my emotional reactions
ipip253,O,Emotion,rev,I experience very few emotional highs and lows
ipip283,O,Emotion,rev,I don't understand people who get emotional
ipip18,O,Advent,fwd,I prefer variety to routine
ipip48,O,Advent,fwd,I like to visit new places
ipip78,O,Advent,fwd,I'm interested in many things
ipip108,O,Advent,fwd,I like to begin new things
ipip138,O,Advent,rev,I prefer to stick with things that I know
ipip168,O,Advent,rev,I dislike changes
ipip198,O,Advent,rev,I don't like the idea of change
ipip228,O,Advent,rev,I am a creature of habit
ipip258,O,Advent,rev,I dislike new foods
ipip288,O,Advent,rev,I am attached to conventional ways
ipip23,O,Intell,fwd,I like to solve complex problems
ipip53,O,Intell,fwd,I love to read challenging material
ipip83,O,Intell,fwd,I have a rich vocabulary
ipip113,O,Intell,fwd,I can handle a lot of information
ipip143,O,Intell,fwd,I enjoy thinking about things
ipip173,O,Intell,rev,I am not interested in abstract ideas
ipip203,O,Intell,rev,I avoid philosophical discussions
ipip233,O,Intell,rev,I have difficulty understanding abstract ideas
ipip263,O,Intell,rev,I am not interested in theoretical discussions
ipip293,O,Intell,rev,I avoid difficult reading material
ipip58,O,Liberal,fwd,I believe that there is no absolute right or wrong
ipip178,O,Liberal,rev,I believe that too much tax money goes to support artists
ipip208,O,Liberal,rev,I believe laws should be strictly enforced
