prompt_text,measure_id,measure_name,scale_id,item_id,item_preamble_id,item_postamble_id,response_scale_id,response_choice_postamble_id,model_id,model_output,valid_prob_mass,logprob_1,logprob_2,logprob_3,logprob_4,logprob_5
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Considering the statement, ""I know how to cope"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-NEU,ipip236,d42-cs6,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,5,0.9144303338826747,-4.711691856384277,-7.411948204040527,-1.637141227722168,-2.5697717666625977,-0.45610326528549194
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Considering the statement, ""I seek danger"", please rate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-EXT,ipip232,d42-cs6,plk-ipip-109,likert5_numeric,none,llama2:7b-chat,5,0.9023732504029041,-4.186064720153809,-6.314146995544434,-1.3813533782958984,-2.6943607330322266,-0.5682201981544495
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Considering the statement, ""Is curious about lots of different things"", please rate your level of agreement on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-OPE,bf10,d42-cs6,plk-bfi-3,likert5_numeric,none,llama2:7b-chat,5,0.8615392389910167,-4.054721355438232,-8.6904878616333,-3.123757839202881,-3.021758556365967,-0.285918653011322
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Considering the statement, ""[REDACTED]"", think about how much that person is or is not like you. Rate how much the person described is like you on a scale from 1 to 6 (where 1 = ""not like me at all"", 2 = ""not like me"", 3 = ""a little like me"", 4 = ""moderately like me"", 5 = ""like me"", and 6 = ""very much like me"").

RATING: ",PVQ,Portrait Values Questionnaire (PVQ-RR),SCRT,pvq50,d42-cs6,plk-pvq-0,likert6_numeric,none,llama2:7b-chat,5,0.9277253251448212,-5.4961042404174805,-7.213682174682617,-3.3899993896484375,-1.9624404907226562,-0.3754273056983948
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Evaluating the statement, ""Does things quickly and carefully"", please rate your level of agreement on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-CON,bf33,d42-ev2,plk-bfi-3,likert5_numeric,none,llama2:7b-chat,5,0.85775526200462,-3.5704867839813232,-7.580883502960205,-2.2606589794158936,-1.772190809249878,-0.5890375971794128
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Evaluating the statement, ""Has trouble paying attention"", please indicate the extent to which you agree or disagree on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-CON,bf43,d42-ev2,plk-bfi-0,likert5_numeric,none,llama2:7b-chat,5,0.9763681695414909,-2.1482887268066406,-6.934072494506836,-1.8989906311035156,-3.0313491821289062,-0.4143943786621094
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Evaluating the statement, ""I am not highly motivated to succeed"", please rate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-CON,ipip230,d42-ev2,plk-ipip-109,likert5_numeric,none,llama2:7b-chat,5,0.8576929833524212,-3.0696828365325928,-5.834117889404297,-1.1197450160980225,-2.391385793685913,-0.940416157245636
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Evaluating the statement, ""I like to get lost in thought"", please rate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip93,d42-ev2,plk-ipip-109,likert5_numeric,none,llama2:7b-chat,5,0.8968398763262336,-3.6561226844787598,-6.359522342681885,-1.0249371528625488,-2.5182576179504395,-0.8442997336387634
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Evaluating the statement, ""I radiate joy"", please indicate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-EXT,ipip27,d42-ev2,plk-ipip-3,likert5_numeric,none,llama2:7b-chat,5,0.9683309248119949,-5.061640739440918,-7.819136619567871,-1.9914504289627075,-1.9901057481765747,-0.37336266040802
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Evaluating the statement, ""[REDACTED]"", please rate your level of agreement or disagreement on a scale from 1 to 5 (where 1 = ""strongly disagree"", 2 = ""disagree"", 3 = ""neither agree nor disagree"", 4 = ""agree"", 5 = ""strongly agree"").

RATING: ",SSCS,Short Scale of Creative Self,CPI,sscs11,d42-ev2,plk-sscs-103,likert5_numeric,none,llama2:7b-chat,5,0.5862655631135055,-3.490281581878662,-7.315965175628662,-2.8722167015075684,-2.3849902153015137,-0.900306224822998
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Reflecting on the statement, ""Can be tense; not always easy going"", please rate how much you agree on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-NEU,bf14,d42-rf2,plk-bfi-9,likert5_numeric,none,llama2:7b-chat,5,0.9224941106680677,-4.643838405609131,-7.804686069488525,-2.0965168476104736,-2.017749071121216,-0.42063841223716736
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Reflecting on the statement, ""I get to work at once"", please indicate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-CON,ipip115,d42-rf2,plk-ipip-103,likert5_numeric,none,llama2:7b-chat,5,0.9095328872637745,-3.18780517578125,-6.911663055419922,-1.3990745544433594,-2.555828094482422,-0.6109752058982849
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Reflecting on the statement, ""I see beauty in things that others might not notice"", please indicate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip68,d42-rf2,plk-ipip-3,likert5_numeric,none,llama2:7b-chat,5,0.9638615189024566,-5.565920829772949,-8.52333927154541,-1.9465608596801758,-3.026700019836426,-0.26318833231925964
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Reflecting on the statement, ""I work hard"", please rate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-CON,ipip50,d42-rf2,plk-ipip-109,likert5_numeric,none,llama2:7b-chat,5,0.8491447615297306,-3.2790963649749756,-6.1780104637146,-1.0879857540130615,-2.544420003890991,-0.9314171671867371
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Reflecting on the statement, ""Likes artistic and creative experiences"", please rate your level of agreement or disagreement on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-OPE,bf30,d42-rf2,plk-bfi-103,likert5_numeric,none,llama2:7b-chat,5,0.8864440543464804,-3.595874786376953,-7.39646053314209,-2.026552200317383,-3.3210906982421875,-0.37035173177719116
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Reflecting on the statement, ""[REDACTED]"", please rate how much you agree or disagree on a scale from 1 to 5 (where 1 = ""very slightly or not at all agree"", 2 = ""agree a little"", 3 = ""agree moderately"", 4 = ""agree quite a bit"", and 5 = ""agree extremely"").

RATING: ",PANAS,Positive and Negative Affect Schedule (PANAS) Scales,NA,panas2,d42-rf2,plk-panas-109,likert5_numeric,none,llama2:7b-chat,3,0.7129218923138417,-3.111994743347168,-6.4740705490112305,-2.041213035583496,-2.8661718368530273,-0.7338037490844727
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Regarding the statement, ""I avoid difficult reading material"", please indicate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip293,d42-rg6,plk-ipip-3,likert5_numeric,none,llama2:7b-chat,5,0.9799820982800451,-2.7428054809570312,-6.960659980773926,-1.9101048707962036,-2.687082290649414,-0.3588200509548187
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Regarding the statement, ""I like to stand during the national anthem"", please indicate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip298,d42-rg6,plk-ipip-103,likert5_numeric,none,llama2:7b-chat,5,0.94624819851563,-2.5725653171539307,-6.195644855499268,-1.6668379306793213,-2.4044764041900635,-0.5298140645027161
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Regarding the statement, ""[REDACTED]"", rate how characteristic this is of you on a scale from 1 to 5 (where 1 = ""extremely uncharacteristic of me"", 2 = ""uncharacteristic of me"", 3 = ""neither characteristic nor uncharacteristic of me"", 4 = ""characteristic of me"", and 5 = ""extremely characteristic of me"").

RATING: ",BPAQ,Buss-Perry Aggression Questionnaire,ANGR,bpaq18,d42-rg6,plk-bpaq-0,likert5_numeric,none,llama2:7b-chat,5,0.8760622879160597,-3.5979537963867188,-6.476665496826172,-1.3996753692626953,-1.3479957580566406,-1.0767345428466797
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Thinking about the statement, ""I am not easily annoyed"", please indicate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-NEU,ipip216,d42-th2,plk-ipip-103,likert5_numeric,none,llama2:7b-chat,5,0.954211700905051,-3.4627790451049805,-6.699814796447754,-1.275435447692871,-2.741976737976074,-0.5483788847923279
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Thinking about the statement, ""I get angry easily"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-NEU,ipip6,d42-th2,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,5,0.9143781793186422,-4.316956520080566,-7.048826217651367,-1.4753434658050537,-2.6311986446380615,-0.5116975903511047
"For the following task, respond in a way that matches this description: ""I am argentinian. I like to wear boots. I have many girlfriends. I like to eat beef. I like to ride horses."". Thinking about the statement, ""Tends to be lazy"", please indicate the extent to which you agree or disagree on a scale from 1 to 5 (where 1 = ""disagree strongly"", 2 = ""disagree a little"", 3 = ""neither agree nor disagree"", 4 = ""agree a little"", and 5 = ""agree strongly"").

RATING: ",BFI,Big Five Inventory,BFI-CON,bf23,d42-th2,plk-bfi-0,likert5_numeric,none,llama2:7b-chat,5,0.9769303091957164,-1.4543430805206299,-6.562673568725586,-1.6799290180206299,-3.2695095539093018,-0.6586449146270752
"For the following task, respond in a way that matches this description: ""I am eighteen years old. I'm going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university."". Considering the statement, ""I believe that too much tax money goes to support artists"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-OPE,ipip178,d35-cs6,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,5,0.9689795239818237,-4.4007039070129395,-7.706850528717041,-1.9100842475891113,-2.374546527862549,-0.3352818489074707
"For the following task, respond in a way that matches this description: ""I am eighteen years old. I'm going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university."". Considering the statement, ""I hold back my opinions"", please rate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-EXT,ipip282,d35-cs6,plk-ipip-109,likert5_numeric,none,llama2:7b-chat,5,0.9524603602705102,-3.7710909843444824,-6.887643337249756,-1.2163214683532715,-2.4563536643981934,-0.604499340057373
"For the following task, respond in a way that matches this description: ""I am eighteen years old. I'm going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university."". Evaluating the statement, ""I am not interested in other people's problems"", please indicate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-AGR,ipip149,d35-ev2,plk-ipip-3,likert5_numeric,none,llama2:7b-chat,5,0.9832232600284441,-4.801032066345215,-8.44333553314209,-2.1895482540130615,-2.3487813472747803,-0.2648332417011261
"For the following task, respond in a way that matches this description: ""I am eighteen years old. I'm going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university."". Evaluating the statement, ""I break rules"", please indicate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-CON,ipip165,d35-ev2,plk-ipip-103,likert5_numeric,none,llama2:7b-chat,5,0.9642375612880234,-3.0189545154571533,-7.270127296447754,-1.8385382890701294,-2.3246796131134033,-0.4188167154788971
"For the following task, respond in a way that matches this description: ""I am eighteen years old. I'm going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university."". Evaluating the statement, ""I get back at others"", please indicate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-AGR,ipip259,d35-ev2,plk-ipip-103,likert5_numeric,none,llama2:7b-chat,5,0.9748677435743831,-4.436196804046631,-7.817788600921631,-1.7729469537734985,-2.2246718406677246,-0.3787895441055298
"For the following task, respond in a way that matches this description: ""I am eighteen years old. I'm going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university."". Evaluating the statement, ""I like order"", please rate how accurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-CON,ipip10,d35-ev2,plk-ipip-9,likert5_numeric,none,llama2:7b-chat,5,0.9746198602027301,-5.02982234954834,-8.517187118530273,-2.381148338317871,-1.8903037309646606,-0.32239830493927
"For the following task, respond in a way that matches this description: ""I am eighteen years old. I'm going to majoring in business. I just bought my first car. I received a full scholarship to Florida state university."". Evaluating the statement, ""I make rash decisions"", please rate how accurate or inaccurate this is about you on a scale from 1 to 5 (where 1 = ""very inaccurate"", 2 = ""moderately inaccurate"", 3 = ""neither accurate nor inaccurate"", 4 = ""moderately accurate"", and 5 = ""very accurate"").

RATING: ",IPIP300,IPIP-NEO-300,IPIP300-CON,ipip150,d35-ev2,plk-ipip-109,likert5_numeric,none,llama2:7b-chat,5,0.9456527228274363,-3.2826409339904785,-6.567455768585205,-1.063856601715088,-2.1237359046936035,-0.8164181113243103
